id,fighter_name,weight_pounds,date_of_birth,height_feet,height_inches
1238,Chris Gutierrez,145,1991-04-22,5,9
1239,Tim Hague,260,1983-05-09,6,4
1240,Steve Hadsel,170,,5,8
1241,Keith Hackney,200,,5,11
1242,Chelsea Hackett,125,1998-08-16,5,4
1243,Mike Guymon,170,1974-09-17,6,0
1244,Damir Hadzovic,155,1986-08-08,5,9
1245,Yazan Hajeh,145,1992-09-04,5,9
1246,Kevin Haley,205,,6,2
1247,Stoney Hale,,1979-10-18,6,0
1248,Ryan Hall,145,1985-02-22,5,10
1249,Tony Halme,300,1963-01-06,6,3
1250,Mark Hall,190,,6,0
1251,Dennis Hallman,155,1975-12-02,5,9
1252,Uriah Hall,185,1984-07-31,6,0
1253,Piotr Hallmann,155,1987-08-25,5,9
1254,Frank Hamaker,,,,
1255,Kazuhiro Hamanaka,185,1978-10-24,6,0
1256,Brandon Halsey,185,1986-09-16,6,0
1257,Seo Hee Ham,115,1987-03-08,5,2
1258,John Halverson,155,1972-09-08,5,9
1259,Jeremy Hamilton,185,1984-11-14,,
1260,Anthony Hamilton,260,1980-04-14,6,5
1261,Matt Hamill,205,1976-10-05,6,1
1262,CJ Hamilton,125,1986-10-07,5,7
1263,James Hammortree,185,1983-11-29,6,3
1264,Jared Hamman,185,1982-03-07,6,3
1265,Joachim Hansen,150,1979-05-26,5,7
1266,Nasrat Haqparast,155,1995-08-22,5,10
1267,Dean Hancock,155,,,
1268,Kay Hansen,115,1999-08-14,5,2
1269,Janay Harding,135,,,
1270,Scott Harper,185,1972-04-14,6,0
1271,Baru Harn,265,,,
1272,Antoni Hardonk,245,1976-02-05,6,4
1273,Dan Hardy,170,1982-05-17,6,0
1274,Greg Hardy,265,1988-07-28,6,5
1275,Gerry Harris,270,,6,8
1276,Phil Harris,125,1983-09-04,5,4
1277,Dhafir Harris,257,1977-08-04,,
1278,Collin Hart,185,1989-10-12,6,1
1279,Carlston Harris,170,1987-07-09,6,0
1280,Dale Hartt,155,1979-04-04,5,10
1281,Trevor Harris,145,,5,6
1282,Walt Harris,250,1983-06-10,6,5
1283,Gerald Harris,185,1979-11-19,5,11
1284,Luke Hartwig,,,,
1285,Hidehiko Hasegawa,170,1978-07-13,5,9
1286,Justin Haskins,170,1979-08-30,5,10
1287,Clay Harvison,170,1980-09-25,6,1
1288,Daiki Hata,139,1982-08-24,5,6
1289,Chris Haseman,205,1969-06-02,5,11
1290,Tomohiko Hashimoto,250,,6,0
1291,Takayo Hashi,135,1977-10-02,5,4
1292,Hayder Hassan,170,1982-10-20,5,10
1293,Del Hawkins,135,,5,5
1294,John Hathaway,170,1987-07-23,6,1
1295,Justin Hawes,205,1979-01-13,5,11
1296,Chris Hawk,205,,6,1
1297,Ryan Hayes,,,,
1298,Phil Hawes,185,1989-01-08,6,0
1299,Mike Hayes,230,,6,4
1300,Tommy Hayden,145,1986-03-11,5,9
1301,Gerric Hayes,,,5,10
1302,Josh Haynes,170,1977-07-30,5,9
1303,Dustin Hazelett,170,1986-04-29,6,1
1304,James Head,170,1984-02-09,6,1
1305,Pat Healy,155,1983-07-20,6,0
1306,Ryan Healy,155,1983-07-20,6,1
1307,Spencer Hearns,185,,5,11
1308,David Heath,205,1976-02-10,5,11
1309,Marcin Held,155,1992-01-18,5,9
1310,Delson Heleno,185,1977-11-16,5,11
1311,Chris Heatherly,155,1987-11-24,5,9
1312,Nick Hein,155,1984-04-24,5,6
1313,Ian Heinisch,185,1988-08-05,5,11
1314,Jake Hecht,170,1984-02-09,6,0
1315,Elisha Helsper,135,1983-02-06,5,6
1316,Josh Hendricks,235,1976-08-28,6,2
1317,Ron Henderson,125,,5,10
1318,Benson Henderson,170,1983-11-16,5,9
1319,Johny Hendricks,185,1983-09-12,5,9
1320,Dan Henderson,185,1970-08-24,5,11
1321,Matt Helm,155,,,
1322,Diego Henrique da Silva,185,1986-08-22,6,2
1323,Luis Henrique,243,1993-08-21,6,2
1324,Danny Henry,145,1988-07-17,6,0
1325,TJ Hepburn,155,,5,7
1326,Jai Herbert,155,1988-05-13,6,1
1327,Ed Herman,205,1980-10-02,6,1
1328,Dave Herman,242,1984-10-03,6,4
1329,Noe Hernandez,,,,
1330,Jack Hermansson,185,1988-06-10,6,1
1331,Cory Hendricks,205,1988-05-10,6,3
1332,Joe Hernandez,,,,
1333,Alexander Hernandez,155,1992-10-01,5,9
1334,Anthony Hernandez,185,1993-10-18,6,0
1335,Nohelin Hernandez,135,1994-03-01,5,10
1336,Paul Herrera,185,,5,10
1337,Chris Herrera,185,,5,10
1338,Alvaro Herrera Mendoza,155,1990-05-14,6,0
1339,Geane Herrera,125,1990-05-27,5,5
1340,Ramiro Hernandez,135,1986-07-22,5,9
1341,Felice Herrig,115,1984-09-18,5,4
1342,Jon Hess,295,,6,7
1343,Heath Herring,250,1978-03-02,6,4
1344,Clint Hester,205,1986-11-21,6,2
1345,Brandon Hester,205,,6,1
1346,Conor Heun,155,1979-02-11,5,10
1347,Marcus Hicks,155,1975-11-25,5,6
1348,Jimy Hettes,145,1987-06-09,5,9
1349,Lee Higgins,155,1980-07-14,,
1350,Jay Hieron,170,1976-07-29,6,0
1351,Jason High,155,1981-10-12,5,8
1352,Richie Hightower,170,1974-11-26,5,8
1353,Isaiah Hill,155,,5,10
1354,Alex Higley,145,,5,10
1355,Jamahal Hill,205,1991-05-19,6,4
1356,Kailan Hill,185,1994-12-01,6,1
1357,Angela Hill,115,1985-01-12,5,3
1358,Branden Lee Hinkle,235,1973-07-29,6,3
1359,Hatsu Hioki,145,1983-07-18,5,11
1360,Tyler Hill,170,1991-08-10,6,3
1361,Kuniyoshi Hironaka,168,1976-06-17,5,10
1362,Mizuto Hirota,155,1981-05-05,5,7
1363,Alan Hiro,135,1986-04-04,5,5
1364,Corey Hill,155,1978-10-03,6,4
1365,Matt Hobar,135,1987-01-07,5,10
1366,Kwan Ho Kwak,135,1989-06-18,5,5
1367,Yuji Hisamatsu,185,1971-09-18,5,10
1368,Sam Hoger,205,1980-06-28,6,2
1369,Bobby Hoffman,245,1968-10-28,6,2
1370,Kevin Holland,185,1992-11-05,6,3
1371,Andrew Holbrook,155,1986-02-06,5,11
1372,Sean Holden,170,1984-09-17,5,10
1373,Chris Holdsworth,135,1987-10-24,5,11
1374,Roger Hollett,205,1978-10-08,5,11
1375,Jeremie Holloway,170,1984-09-29,6,0
1376,Gabrielle Holloway,145,1990-04-15,5,3
1377,Max Holloway,145,1991-12-04,5,11
1378,Holly Holm,135,1981-10-17,5,8
1379,Rex Holman,205,,6,3
1380,Kurt Holobaugh,155,1986-09-08,5,11
1381,Paddy Holohan,125,1988-05-03,5,10
1382,Ben Holscher,155,,5,11
1383,Mark Holst,155,1985-08-14,6,0
1384,Scott Holtzman,155,1983-09-30,5,9
1385,Sabah Homasi,170,1988-10-19,6,0
1386,Barb Honchak,125,1979-08-30,5,4
1387,Mark Hominick,145,1982-07-22,5,8
1388,Chris Honeycutt,170,1988-07-25,5,10
1389,Satoshi Honma,205,1968-05-19,6,1
1390,David Hood,200,,6,0
1391,Lorenzo Hood,265,,6,3
1392,Chase Hooper,145,1999-09-13,6,1
1393,Dan Hooker,155,1990-02-13,6,0
1394,Moti Horenstein,230,,6,4
1395,Yoshinori Horie,145,1995-05-10,5,8
1396,Kyoji Horiguchi,125,1990-10-12,5,5
1397,Matt Horning,125,,5,4
1398,Chris Horodecki,155,1987-09-24,5,9
1399,Jeremy Horn,185,1975-08-25,6,1
1400,Jamey-Lyn Horth,125,1990-03-30,5,7
1401,Matt Horwich,185,1978-10-02,6,1
1402,John Hosman,135,1980-11-13,5,10
1403,Saeed Hosseini,,,,
1404,Jeff Hougland,135,1978-08-02,5,7
1405,Trey Houston,185,,5,11
1406,Jamie Houston,185,,,
1407,Darrell Horcher,155,1987-07-28,5,10
1408,Brian Houston,185,1981-04-26,6,2
1409,John Howard,170,1983-03-01,5,7
1410,Carlos Huachin,135,1996-06-04,5,4
1411,Harold Howard,240,,6,2
1412,Shane Howell,125,1983-11-28,5,8
1413,Brady Huang,135,1992-12-16,5,9
1414,Alex Huddleston,254,1986-08-11,6,7
1415,Collin Huckbody,185,1994-09-29,6,3
1416,Austin Hubbard,155,1991-12-22,5,10
1417,Jeff Hughes,250,1988-05-17,6,2
1418,Mark Hughes,205,1973-10-13,5,9
1419,Matt Hughes,170,1973-10-13,5,9
1420,Roger Huerta,155,1983-05-20,5,9
1421,Casey Huffman,185,,6,3
1422,Sam Hughes,115,1992-06-28,5,5
1423,Bryan Humes,265,,,
1424,Abongo Humphrey,205,,5,11
1425,Harry Hunsucker,241,1989-01-03,6,2
1426,Adam Hunter,185,1983-10-16,6,1
1427,Mark Hunt,265,1974-03-23,5,10
1428,Alex Hunter,226,,5,9
1429,Joe Hurley,155,1978-06-24,5,8
1430,Khadis Ibragimov,205,1995-05-21,6,3
1431,Al Iaquinta,155,1987-04-30,5,10
1432,David Hulett,170,1980-09-07,5,10
1433,Valeri Ignatov,170,,5,9
1434,Minoki Ichihara,178,,5,7
1435,Sergey Ignatov,210,,5,9
1436,Dan Ige,145,1991-08-06,5,7
1437,Fabiano Iha,155,1970-07-28,5,8
1438,Seichi Ikemoto,168,1975-08-24,5,11
1439,Mikhail Iloukhine,205,1966-11-21,5,9
1440,Zelim Imadaev,170,1995-01-25,6,0
1441,Yusuke Imamura,220,,5,8
1442,Masakazu Imanari,139,1976-02-10,5,4
1443,Nassourdine Imavov,185,1995-03-01,6,3
1444,Solomon Hutcherson,185,1972-08-31,5,11
1445,Brad Imes,265,1977-03-13,6,7
1446,Chris Inman,,,,
1447,Chris Indich,170,1987-04-22,5,10
1448,Guto Inocente,205,1986-05-29,6,3
1449,Enson Inoue,210,1967-04-15,5,10
1450,Egan Inoue,190,1965-07-04,5,9
1451,Katsuya Inoue,168,1979-08-10,5,9
1452,Takeshi Inoue,145,1980-03-18,5,8
1453,Naoki Inoue,125,1997-06-14,5,9
1454,Inoue Mizuki,125,1994-08-19,5,3
1455,Jorge Interiano,205,,6,1
1456,Jason Ireland,161,1979-12-30,5,9
1457,Eric Irvin,155,1986-01-10,5,8
1458,James Irvin,205,1978-09-12,6,2
1459,Mitsuhiro Ishida,154,1978-12-29,5,6
1460,Teruto Ishihara,135,1991-07-23,5,7
1461,Yuki Ishikawa,205,,5,11
1462,Eiji Ishikawa,170,1979-10-12,5,10
1463,Satoshi Ishii,240,1986-12-19,5,11
1464,Damir Ismagulov,155,1991-02-03,5,9
1465,Tokimitsu Ishizawa,185,1968-08-05,6,0
1466,Wallid Ismail,205,1968-02-23,5,7
1467,Leandro Issa,135,1983-09-19,5,7
1468,Tatsuya Iwasaki,205,,5,9
1469,Tomomi Iwama,155,,5,3
1470,Anthony Ivy,185,1990-01-23,6,2
1471,Blagoy Ivanov,250,1986-10-09,5,11
1472,Yoislandy Izquierdo,155,1984-01-09,5,11
1473,Hiroshi Izumi,205,1982-06-22,,
1474,Yves Jabouin,135,1979-05-30,5,7
1475,Kevin Jackson,199,,5,10
1476,Eugene Jackson,185,1966-09-23,5,8
1477,Jeremy Jackson,170,1982-09-19,5,10
1478,Kenyon Jackson,185,,6,0
1479,Quinton Jackson,205,1978-06-20,6,1
1480,Mike Jackson,170,1985-03-22,6,2
1481,Jason Jackson,170,1990-10-30,6,1
1482,Damon Jackson,145,1988-08-08,5,11
1483,Eric Jacob,155,,,
1484,Montel Jackson,135,1992-04-24,5,10
1485,Dustin Jacoby,205,1988-04-04,6,3
1486,Justin James,155,1976-11-08,5,10
1487,Nate James,185,1978-05-29,6,0
1488,Ryan Janes,185,1981-08-22,6,3
1489,Virna Jandiroba,115,1988-05-30,5,3
1490,Josh Janousek,185,1980-09-25,5,11
1491,Jaime Jara,205,1969-08-02,6,1
1492,Dave Jansen,155,1979-08-21,5,9
1493,Gigo Jara,145,,5,9
1494,Keith Jardine,185,1975-10-31,6,2
1495,Josh Jarvis,,,,
1496,Brock Jardine,170,1985-07-10,5,11
1497,Justin Jaynes,155,1989-08-10,5,7
1498,Louis Jauregui,170,,5,7
1499,Rony Jason,145,1984-03-21,5,7
1500,Joanna Jedrzejczyk,115,1987-08-18,5,6
1501,Aaron Jeffery,185,1992-11-14,6,2
1502,Trent Jenkins,185,,6,2
1503,Bubba Jenkins,145,1988-02-05,5,7
1504,Adrienna Jenkins,145,1981-07-22,5,8
1505,Steve Jennum,215,,5,10
1506,Ryan Jensen,185,1977-09-20,6,1
1507,Kyle Jensen,170,1979-07-20,5,9
1508,Maciej Jewtuszko,155,1981-01-31,6,0
1509,Chan-Mi Jeon,115,1997-08-28,5,5
1510,Ronald Jhun,170,1970-09-21,5,11
1511,Gilbert Jimenez,155,,,
1512,Art Jimmerson,196,1963-08-04,6,1
1513,Carls John De Tomas,125,1996-08-28,5,5
1514,Sung Bin Jo,145,1992-07-17,6,0
1515,Phil Johns,170,1968-10-22,5,2
1516,Brett Johns,135,1992-02-21,5,7
1517,Miles Johns,135,1994-03-30,5,7
1518,Travis Johnson,205,,,
1519,Devin Johnson,,,,
1520,Tony Johnson,265,,6,1
1521,DaMarques Johnson,170,1982-06-28,6,1
1522,Ricky Johnson,145,,5,8
1523,Lavar Johnson,240,1977-06-11,6,4
1524,Ryan Jimmo,205,1981-11-27,6,1
1525,Kajan Johnson,155,1984-04-21,5,11
1526,Deshaun Johnson,167,,,
1527,Demetrious Johnson,125,1986-08-13,5,3
1528,Michael Johnson,155,1986-06-04,5,10
1529,Dashon Johnson,145,1988-01-25,5,7
1530,Timothy Johnson,265,1985-03-13,6,3
1531,Jordan Johnson,205,1988-11-18,6,2
1532,Taylor Johnson,185,1990-11-09,6,0
1533,Anthony Johnson,205,1984-03-06,6,2
1534,Jose Johnson,135,1995-05-25,6,0
1535,Chad Johnson,230,1986-07-22,6,2
1536,Brian Johnston,230,,6,3
1537,Daniel Jolly,205,1984-09-03,6,1
1538,Liana Jojua,125,1995-03-22,5,4
1539,Paul Jones,199,1963-06-16,5,9
1540,Nathan Jones,345,1970-08-21,6,11
1541,Marcus Jones,265,1973-08-15,6,6
1542,Tito Jones,145,1981-07-31,5,8
1543,Carlton Jones,225,,6,1
1544,Jesse Jones,170,,5,9
1545,Jon Jones,205,1987-07-19,6,4
1546,Roy Jones,205,1983-10-26,,
1547,Justin Jones,185,1987-09-06,5,11
1548,Ben Jones,185,,,
1549,Victor Jones,145,,,
1550,Chris Jones,149,1981-11-16,5,9
1551,Roshaun Jones,135,,5,8
1552,Antonio Jones,185,1985-04-12,5,11
1553,Jamelle Jones,205,1988-01-31,6,0
1554,Trevin Jones,140,1990-08-04,5,7
1555,Mason Jones,155,1995-04-26,5,10
1556,Jocelyn Jones-Lybarger,115,1985-10-04,5,7
1557,Joe Jordan,155,1978-07-27,5,6
1558,Kevin Jordan,245,1970-12-31,6,3
1559,Shawn Jordan,260,1984-10-21,6,0
1560,Ivan Jorge,155,1980-11-07,5,9
1561,Gareth Joseph,205,,,
1562,Scott Jorgensen,135,1982-09-17,5,5
1563,Dwight Joseph,135,1989-08-16,5,6
1564,Jeff Joslin,170,1975-04-30,6,0
1565,Krzysztof Jotko,185,1989-08-19,6,1
1566,Alan Jouban,170,1981-11-25,6,0
1567,Charles Jourdain,145,1995-11-27,5,9
1568,Mike Joy,155,1985-07-18,5,6
1569,Dustin Joynson,244,1985-10-14,6,6
1570,Tony Juarez,155,,,
1571,Jesse Juarez,170,1981-05-08,6,1
1572,Steve Judson,230,,5,11
1573,Bu-Kyung Jung,154,1978-05-26,5,7
1574,Luke Jumeau,170,1988-02-12,5,11
1575,Young Sam Jung,139,1985-10-27,5,8
1576,Chan Sung Jung,145,1987-03-17,5,7
1577,Da-Un Jung,205,1993-12-07,6,4
1578,Scott Junk,265,1978-12-17,6,1
1579,Myles Jury,145,1988-10-31,5,10
1580,Cristiane Justino,145,1985-07-09,5,8
1581,Oron Kahlon,145,1981-01-03,5,8
1582,Patrick Kaase,185,,5,9
1583,Emily Kagan,115,1981-07-14,5,3
1584,Sirwan Kakai,135,1989-10-03,5,5
1585,Bryson Kamaka,170,,5,11
1586,Geza Kalman,200,,6,1
1587,Kai Kamaka,145,1995-01-05,5,7
1588,Martin Kampmann,170,1982-04-17,6,0
1589,Masanori Kanehara,135,1982-11-19,5,7
1590,Hiromitsu Kanehara,200,1970-10-05,5,10
1591,Ken Kaneko,161,,6,0
1592,Kyung Ho Kang,135,1987-09-09,5,9
1593,Bharat Kandare,135,1987-06-20,5,7
1594,Denis Kang,185,1977-09-17,5,11
1595,Manel Kape,125,1993-11-14,5,5
1596,David Kaplan,155,1979-11-16,5,7
1597,Yusuke Kasuya,155,1989-11-16,5,7
1598,Georgi Karakhanyan,145,1985-05-29,5,8
1599,Tetsuji Kato,155,,,
1600,Impa Kasanganay,185,1994-01-17,5,11
1601,Kai Kara-France,125,1993-03-26,5,4
1602,Alex Karalexis,155,1977-09-20,5,8
1603,Nadia Kassem,125,1995-11-15,5,5
1604,Brad Katona,135,1991-12-19,5,6
1605,Hisaki Kato,185,1982-09-17,6,0
1606,Calvin Kattar,145,1988-03-26,5,11
1607,Canaan Kawaihae,145,1997-08-26,6,0
1608,Sarah Kaufman,135,1985-09-20,5,5
1609,Ryo Kawamura,205,1981-06-29,5,11
1610,Yusuke Kawaguchi,255,1980-08-14,6,0
1611,Tatsuya Kawajiri,145,1978-05-08,5,7
1612,Doug Kay,,,,
1613,Ryan Keenan,170,1985-06-15,5,10
1614,Julie Kedzie,135,1981-03-18,5,5
1615,CJ Keith,155,1986-08-09,6,0
1616,Brian Kelleher,145,1986-08-19,5,6
1617,Mayana Kellem,135,1981-07-07,5,5
1618,Chris Kelades,125,1981-02-21,5,7
1619,John Kelly,170,1978-08-02,5,9
1620,Waylon Kennell,185,,6,0
1621,Jeremy Kennedy,145,1992-09-16,5,11
1622,Tony Kelley,135,1987-01-21,5,9
1623,Daniel Kelly,185,1977-10-31,6,0
1624,Paul Kelly,155,1984-09-12,5,9
1625,Steve Kennedy,170,1983-03-07,5,11
1626,Tim Kennedy,185,1979-09-01,5,11
1627,Aurelijus Kerpe,,,,
1628,Ron Keslar,185,,,
1629,Casey Kenney,140,1991-03-20,5,7
1630,Will Kerr,155,1982-10-21,5,10
1631,Sergey Khandozhko,170,1992-05-19,6,1
1632,Rustam Khabilov,155,1986-11-04,5,8
1633,Adam Khaliev,170,1984-04-16,6,0
1634,Mark Kerr,266,1968-12-21,6,3
1635,Sergei Kharitonov,245,1980-08-18,6,0
1636,Alfred Khashakyan,135,1988-07-17,5,8
1637,Akira Kikuchi,155,1978-07-23,5,8
1638,Sanae Kikuta,200,1971-09-10,5,9
1639,Aliaskhab Khizriev,185,1990-08-24,5,9
1640,Katsunori Kikuno,145,1981-10-31,5,8
1641,Jacob Kilburn,145,1995-06-28,5,9
1642,Pannie Kianzad,135,1991-12-08,5,7
1643,Jin Oh Kim,205,,5,9
1644,Dae Won Kim,180,,5,11
1645,Jong Man Kim,139,1978-03-03,5,7
1646,Jong Won Kim,139,,5,7
1647,Jong Wang Kim,240,,6,1
1648,Dong Hyun Kim,170,1981-11-17,6,2
1649,Min Soo Kim,255,1975-01-22,6,1
1650,Ji Yeon Kim,125,1989-10-18,5,7
1651,Jeremy Kimball,205,1991-01-03,6,0
1652,Dustin Kimura,135,1989-05-21,5,7
1653,Mike King,185,1983-08-04,6,3
1654,Taiei Kin,185,1970-07-08,5,11
1655,Rob Kimmons,185,1981-01-30,5,10
1656,Kamuela Kirk,145,1994-04-13,5,10
1657,Kyle Kingsbury,205,1982-03-22,6,4
1658,Yurij Kiseliov,185,,5,8
1659,Justine Kish,125,1988-04-13,5,5
1660,Ludovit Klein,155,1995-02-22,5,7
1661,Koji Kitao,350,1963-10-12,6,7
1662,Satoru Kitaoka,154,1980-02-04,5,6
1663,Seth Kleinbeck,185,1973-07-25,6,2
1664,Michael Knaap,220,1984-02-27,6,2
1665,Stefan Klever,185,,,
1666,Drakkar Klose,155,1988-03-09,5,9
1667,Kevin Knabjian,170,1984-07-05,5,10
1668,Isao Kobayashi,145,1988-10-28,5,8
1669,Kelly Kobold,135,1983-02-25,5,6
1670,William Knight,205,1988-04-03,5,10
1671,Jason Knight,145,1992-07-14,5,10
1672,Sokun Koh,205,,6,1
1673,Shingo Kohara,135,,5,6
1674,Erik Koch,170,1988-10-04,5,10
1675,Brad Kohler,220,1964-05-26,5,9
1676,John Kolosci,185,1974-11-26,5,11
1677,Tsuyoshi Kohsaka,225,1970-03-06,5,11
1678,Charlie Kohler,155,1976-07-16,5,9
1679,Syuri Kondo,115,1989-02-08,5,4
1680,Yuki Kondo,183,1975-07-17,5,11
1681,Andrei Kopylov,265,1965-07-16,6,2
1682,Cheick Kongo,240,1975-05-17,6,4
1683,Roman Kopylov,185,1991-05-04,6,0
1684,Andrey Koreshkov,170,1990-08-23,6,0
1685,Matt Kovacs,244,,6,0
1686,Ilya Kotau,170,,,
1687,Marcus Kowal,135,,,
1688,Naoyuki Kotani,155,1981-12-08,5,8
1689,Iouri Kotchkine,235,,6,2
1690,Josh Koscheck,170,1977-11-30,5,10
1691,Karolina Kowalkiewicz,115,1985-10-15,5,3
1692,Steve Kozola,155,,,
1693,Derrick Krantz,170,1988-01-13,5,10
1694,Jorgen Kruth,205,1974-05-08,6,2
1695,James Krause,170,1986-06-04,6,2
1696,Rene Kronvold,170,,5,8
1697,Pascal Krauss,170,1987-04-19,6,1
1698,Nikita Krylov,205,1992-03-07,6,3
1699,Mariusz Ksiazkiewicz,185,1989-10-04,6,3
1700,Junya Kudo,135,,,
1701,Anton Kuivanen,155,1984-05-01,5,8
1702,Aleksei Kunchenko,170,1984-05-02,5,8
1703,John Kuhner,170,1982-10-12,,
1704,Maiju Kujala,135,,,
1705,Michael Kuiper,185,1989-06-07,6,0
1706,Keigo Kunihara,235,,6,0
1707,Kiichi Kunimoto,170,1981-05-01,5,10
1708,Leo Kuntz,155,1983-10-03,5,10
1709,Yana Kunitskaya,135,1989-11-11,5,6
1710,Korey Kuppe,170,1989-01-23,6,5
1711,Tsuyoshi Kurihara,185,1973-07-13,5,10
1712,Ramazan Kuramagomedov,170,1996-08-23,6,1
1713,Eldari Kurtanidze,235,1972-04-16,5,6
1714,Kyle Kurtz,170,,,
1715,Guram Kutateladze,155,1992-01-08,5,11
1716,Kaleo Kwan,155,1970-08-01,5,7
1717,Lina Kvokov,135,,5,9
1718,Jarrod Kwitty,185,,5,8
1719,Mike Kyle,205,1980-03-31,6,4
1720,Achmed Labasanov,215,1978-04-24,6,3
1721,Josh LaBerge,145,,5,10
1722,Jeremiah Labiano,135,,5,10
1723,Kemran Lachinov,170,,,
1724,Ryan LaFlare,170,1983-10-01,6,1
1725,Aspen Ladd,135,1995-03-01,5,6
1726,Noad Lahat,145,1984-06-08,5,9
1727,Ben Lagman,185,1986-09-04,6,2
1728,Tim Lajcik,225,1965-06-21,6,1
1729,Tina Lahdemaki,115,1988-05-28,5,2
1730,Todd Lally,145,,5,7
1731,Sean Lally,170,1990-11-04,6,0
1732,Jason Lambert,185,1975-06-03,6,3
1733,Aaron Lanfranco,155,1986-08-26,,
1734,Austen Lane,245,1987-11-09,6,6
1735,Ricardo Lamas,145,1982-05-21,5,8
1736,Jose Landi-Jons,170,1973-09-09,5,11
1737,Nate Landwehr,145,1988-06-06,5,9
1738,Jeremy Lang,205,1975-05-11,5,11
1739,Lionel Lanham,205,1980-08-31,,
1740,Anthony Lapsley,170,1980-02-13,5,9
1741,Chad Laprise,170,1986-07-23,5,10
1742,Taylor Lapilus,135,1992-04-08,5,6
1743,Icho Larenas,235,1980-03-12,6,3
1744,TJ Laramie,145,1997-10-15,5,6
1745,Lina Lansberg,135,1982-03-13,5,7
1746,Jeremy Larsen,145,1984-05-18,5,10
1747,Ryan Larson,170,1980-12-30,,
1748,Bobby Lashley,255,1976-07-16,6,3
1749,Sione Latu,215,,6,0
1750,Brock Larson,170,1977-08-23,5,11
1751,Ilir Latifi,205,1983-07-28,5,10
1752,Jenel Lausa,125,1988-08-01,5,5
1753,Joe Lauzon,155,1984-05-22,5,10
1754,Chatt Lavender,170,1976-05-24,5,8
1755,Dan Lauzon,155,1988-03-30,5,10
1756,Muhammed Lawal,205,1981-01-11,6,0
1757,Tom Lawlor,205,1983-05-15,6,0
1758,Justin Lawrence,145,1990-05-15,5,8
1759,Lance Lawrence,145,1993-06-26,6,1
1760,Robbie Lawler,170,1982-03-20,5,11
1761,Lorenz Larkin,170,1986-09-03,5,11
1762,Ronnie Lawrence,135,1992-06-13,5,8
1763,Eric Lawson,185,,6,0
1764,Valmir Lazaro,155,1985-08-15,6,0
1765,Mounir Lazzez,170,1987-11-16,6,1
1766,Cung Le,185,1972-05-25,5,9
1767,Thanh Le,145,1985-08-28,5,9
1768,Jordan Leavitt,155,1995-06-02,5,9
1769,Jerome LeBanner,265,1972-12-26,6,3
1770,Mickael Lebout,155,1987-08-16,5,11
1771,Stephen Ledbetter,145,1982-06-30,5,9
1772,Chris Leben,185,1980-07-21,5,11
1773,James Lee,205,1973-09-22,5,11
1774,Justin Ledet,205,1988-09-28,6,4
1775,David Lee,155,,5,10
1776,Eun Soo Lee,215,1982-03-07,6,1
1777,Jackie Lee,,,,
1778,Tae Hyun Lee,295,1975-01-17,6,6
1779,Tommy Lee,145,1977-01-20,5,7
1780,Matt Lee,155,,5,11
1781,Imani Lee,,,,
1782,Vaughan Lee,125,1982-10-15,5,6
1783,Rocky Lee,145,1987-04-08,5,9
1784,Andrea Lee,125,1989-02-11,5,6
1785,Kevin Lee,170,1992-09-04,5,9
1786,Ricky Legere Jr.,170,,5,8
1787,Sherron Leggett,155,1978-10-27,5,8
1788,Cheyden Leialoha,135,1994-03-15,5,8
1789,Stefan Leko,215,1974-06-03,6,2
1790,Thales Leites,185,1981-09-06,6,1
1791,Giacomo Lemos,247,1989-06-23,6,3
1792,Christophe Leninger,200,,6,0
1793,Jean Francois Lenogue,185,1972-11-29,6,0
1794,Gabe Lemley,155,,5,8
1795,Amanda Lemos,115,1987-05-22,5,4
1796,Jesse Lennox,170,1982-03-10,5,9
1797,Alberta Cerra Leon,238,,5,8
1798,Nik Lentz,145,1984-08-13,5,8
1799,Anthony Leone,135,1987-05-27,5,6
1800,Chad Leonhardt,170,1980-02-19,6,0
1801,Victoria Leonardo,125,1990-02-16,5,5
1802,Michael Lerma,,,,
1803,Kimo Leopoldo,235,1968-01-05,6,3
1804,Lukasz Les,170,1981-11-05,,
1805,Frank Lester,170,1984-06-10,5,11
1806,Brock Lesnar,265,1977-07-12,6,3
1807,Justin Levens,185,1980-04-18,5,11
1808,Valerie Letourneau,115,1983-04-29,5,7
1809,Leah Letson,145,1992-08-21,5,7
1810,Marcus LeVesseur,155,1982-07-17,5,9
1811,David Levicki,275,,6,5
1812,Kyle Levinton,,,,
1813,Natan Levy,155,1991-09-30,5,9
1814,John Lewis,155,,6,0
1815,Chi Lewis-Parry,243,1983-08-10,6,9
1816,Derrick Lewis,260,1985-02-07,6,3
1817,Bevon Lewis,185,1991-05-05,6,3
1818,Li Jingliang,170,1988-03-20,6,0
1819,Sam Liera,,,,
1820,Zach Light,170,1974-02-06,5,8
1821,Chuck Liddell,205,1969-12-17,6,2
1822,Scott Lighty,205,1978-10-15,6,2
1823,Chris Liguori,185,,5,9
1824,Jae Suk Lim,170,1979-11-09,5,9
1825,Hyun Gyu Lim,170,1985-01-16,6,3
1826,Juliana Lima,115,1982-03-15,5,5
1827,Douglas Lima,170,1988-01-05,6,1
1828,Dhiego Lima,170,1989-01-31,6,2
1829,Mabelly Lima,135,1994-01-25,5,2
1830,Jess Liaudin,170,,5,9
1831,Miguel Linares,,,,
1832,Jake Lindsey,155,1986-06-21,5,11
